no,id,title,type,platform,friend_id,country,region,sent_date,received_date,tags,url,friend_url
,US-7394490,,MATCH,POSTCROSSING,NorthDakotagal57,U.S.A.,,7/Mar/2021,19/Apr/2021,,https://www.postcrossing.com/postcards/US-7394490,https://www.postcrossing.com/user/NorthDakotagal57
,CZ-1791545,,MATCH,POSTCROSSING,Luxie,Czechia,,20/Mar/2021,21/Apr/2021,,https://www.postcrossing.com/postcards/CZ-1791545,https://www.postcrossing.com/user/Luxie
,DE-10240395,,MATCH,POSTCROSSING,Amydiva25,Germany,,9/Mar/2021,2/May/2021,,https://www.postcrossing.com/postcards/DE-10240395,https://www.postcrossing.com/user/Amydiva25
,CNTM44408,大足石刻·卧佛,活动,icardyou,A_TIAN,China,重庆,4/27/2021 10:44,5/2/2021 9:02,重庆 景点,https://icardyou.icu/sendpostcard/postcardDetail/1136819,https://icardyou.icu/userInfo/homePage?userId=38126
,CNZJ21182,总是期待你能偶尔回头，鼓舞我追逐后的汗水。,活动,icardyou,麦芒,China,广东,5/3/2021 17:08,5/6/2021 19:28,九把刀,https://icardyou.icu/sendpostcard/postcardDetail/1136822,https://icardyou.icu/userInfo/homePage?userId=27307
,CNJS14891,常熟亮山工程,活动,icardyou,Steve,China,江苏,5/14/2021 14:18,5/18/2021 9:01,常熟 公园,https://icardyou.icu/sendpostcard/postcardDetail/1139394,https://icardyou.icu/userInfo/homePage?userId=1910
,CNJS14890,常熟沙家浜,活动,icardyou,Steve,China,江苏,5/14/2021 14:09,5/18/2021 9:02,常熟 邮资片 景点,https://icardyou.icu/sendpostcard/postcardDetail/1139391,https://icardyou.icu/userInfo/homePage?userId=1910
,CNBJ28741,朱家角,活动,icardyou,懒加菲,China,北京,5/14/2021 17:45,5/19/2021 9:34,上海 朱家角 古镇 三生有信,https://icardyou.icu/sendpostcard/postcardDetail/1139460,https://icardyou.icu/userInfo/homePage?userId=38886
,CNTM44907,大理凤羽镇三教宫,活动,icardyou,A_TIAN,China,天津,5/13/2021 17:04,5/20/2021 10:47,大理 寺庙,https://icardyou.icu/sendpostcard/postcardDetail/1139339,https://icardyou.icu/userInfo/homePage?userId=38126
,CNBJ28720,爱丽丝梦游仙境,活动,icardyou,树树仔,China,北京,5/17/2021 17:30,5/23/2021 22:25,盒片,https://icardyou.icu/sendpostcard/postcardDetail/1139306,https://icardyou.icu/userInfo/homePage?userId=39129
,ID-352813,,MATCH,POSTCROSSING,jesicasil,Indonesia,,12/Mar/2021,25/May/2021,,https://www.postcrossing.com/postcards/ID-352813,https://www.postcrossing.com/user/jesicasil
,CNHE4273,熊猫魅力剧场,活动,icardyou,如果时光可以倒流,China,河北,5/21/2021 22:57,5/26/2021 22:47,熊猫 动物 插画,https://icardyou.icu/sendpostcard/postcardDetail/1140162,https://icardyou.icu/userInfo/homePage?userId=31742
,CNZJ21496,杭州乡下风景,活动,icardyou,Money,China,浙江,5/25/2021 11:46,5/28/2021 13:32,杭州 摄影,https://icardyou.icu/sendpostcard/postcardDetail/1140750,https://icardyou.icu/userInfo/homePage?userId=38941
,CNNX0071,柔软·丽江,活动,icardyou,瑞鹤,China,宁夏,5/23/2021 16:05,5/31/2021 10:31,云南 丽江 景点,https://icardyou.icu/sendpostcard/postcardDetail/1139612,https://icardyou.icu/userInfo/homePage?userId=39113
